시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 03:35:05:70,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 03:35:06:47,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 03:35:06:80,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 03:35:07:06,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 03:35:07:29,공격,실패,3,297,61,90,90,1,75.3571,1,1
2024-04-18 03:35:07:52,공격,성공,2,297,61,90,90,1,100,1,1
2024-04-18 03:35:07:93,공격,성공,2,296,91,120,120,1,91,1,1
2024-04-18 03:35:08:34,공격,성공,2,295,121,150,150,1,82.81,1,1
2024-04-18 03:35:08:75,공격,성공,2,294,151,180,180,1,75.3571,1,1
2024-04-18 03:35:09:17,공격,성공,2,293,181,210,210,1,68.574961,1,1
2024-04-18 03:35:09:61,공격,성공,2,292,211,240,240,1,62.40321451,1,1
2024-04-18 03:35:10:01,공격,실패,2,291,241,270,270,1,56.7869252041,1,1
