시간,버튼,행동,플레이어 체력,보스 체력,점수,소유 경험치,총 경험치,공격력,공격 성공 확률,공격력 강화 레벨,정확도 강화 레벨
2024-04-18 02:53:02:84,게임 시작,게임 시작,3,0,0,0,0,0,0,0,0
2024-04-18 02:53:03:78,공격,성공,3,300,0,0,0,1,100,1,1
2024-04-18 02:53:04:43,공격,성공,3,299,1,30,30,1,91,1,1
2024-04-18 02:53:04:84,공격,성공,3,298,31,60,60,1,82.81,1,1
2024-04-18 02:53:12:31,공격,성공,3,297,61,90,90,1,75.3571,1,1
2024-04-18 02:53:12:78,공격,성공,3,296,91,120,120,1,68.574961,1,1
2024-04-18 02:53:13:23,공격,성공,3,295,121,150,150,1,62.40321451,1,1
2024-04-18 02:53:13:63,공격,실패,3,294,151,180,180,1,56.7869252041,1,1
2024-04-18 02:53:14:03,공격,성공,2,294,151,180,180,1,100,1,1
2024-04-18 02:53:14:54,공격,성공,2,293,181,210,210,1,91,1,1
